Haynesville Region,,Oil (bbl/d),,,Natural gas (Mcf/d),,,,
Month,Rig count,Production per rig,Legacy production change,Total production,Production per rig,Legacy production change,Total production,,
Jan-07, 170 , 6 ," (1,258)"," 60,137 ", 933 ," (120,728)"," 3,566,041 ",,
Feb-07, 179 , 7 ," (1,263)"," 60,803 ", 954 ," (125,857)"," 3,589,269 ",,
Mar-07, 179 , 7 ," (1,268)"," 61,462 ", 973 ," (130,472)"," 3,659,391 ",,
Apr-07, 186 , 7 ," (1,274)"," 60,344 ", 994 ," (135,564)"," 3,694,563 ",,
May-07, 184 , 7 ," (1,280)"," 59,192 "," 1,014 "," (140,480)"," 3,726,282 ",,
Jun-07, 179 , 7 ," (1,289)"," 58,217 "," 1,035 "," (145,560)"," 3,764,329 ",,
Jul-07, 188 , 7 ," (1,298)"," 57,073 "," 1,057 "," (150,482)"," 3,823,858 ",,
Aug-07, 189 , 7 ," (1,308)"," 57,737 "," 1,079 "," (155,582)"," 3,828,884 ",,
Sep-07, 182 , 8 ," (1,318)"," 58,030 "," 1,103 "," (160,699)"," 3,854,177 ",,
Oct-07, 181 , 8 ," (1,327)"," 59,603 "," 1,125 "," (165,668)"," 3,923,954 ",,
Nov-07, 184 , 8 ," (1,334)"," 60,957 "," 1,152 "," (170,813)"," 3,942,608 ",,
Dec-07, 186 , 8 ," (1,339)"," 60,581 "," 1,180 "," (175,796)"," 3,986,361 ",,
Jan-08, 175 , 8 ," (1,340)"," 62,953 "," 1,211 "," (180,937)"," 3,984,767 ",,
Feb-08, 176 , 8 ," (1,337)"," 62,871 "," 1,240 "," (186,048)"," 4,070,383 ",,
Mar-08, 178 , 8 ," (1,328)"," 61,552 "," 1,264 "," (190,749)"," 4,131,503 ",,
Apr-08, 179 , 8 ," (1,312)"," 62,643 "," 1,281 "," (195,560)"," 4,197,367 ",,
May-08, 190 , 7 ," (1,313)"," 60,865 "," 1,288 "," (200,041)"," 4,245,562 ",,
Jun-08, 199 , 7 ," (1,332)"," 60,758 "," 1,281 "," (204,626)"," 4,237,149 ",,
Jul-08, 199 , 7 ," (1,363)"," 60,070 "," 1,266 "," (209,050)"," 4,292,782 ",,
Aug-08, 222 , 6 ," (1,403)"," 58,887 "," 1,251 "," (213,591)"," 4,303,941 ",,
Sep-08, 240 , 6 ," (1,444)"," 54,717 "," 1,243 "," (218,249)"," 4,153,477 ",,
Oct-08, 239 , 6 ," (1,474)"," 60,379 "," 1,249 "," (223,011)"," 4,417,557 ",,
Nov-08, 244 , 6 ," (1,487)"," 60,192 "," 1,277 "," (228,543)"," 4,479,228 ",,
Dec-08, 230 , 5 ," (1,482)"," 60,971 "," 1,328 "," (234,543)"," 4,533,558 ",,
Jan-09, 210 , 5 ," (1,458)"," 61,857 "," 1,417 "," (241,436)"," 4,547,583 ",,
Feb-09, 182 , 5 ," (1,419)"," 59,666 "," 1,553 "," (248,741)"," 4,423,210 ",,
Mar-09, 156 , 5 ," (1,375)"," 59,847 "," 1,711 "," (256,022)"," 4,681,111 ",,
Apr-09, 146 , 5 ," (1,328)"," 58,571 "," 1,924 "," (262,756)"," 4,755,864 ",,
May-09, 136 , 5 ," (1,287)"," 56,754 "," 2,149 "," (273,135)"," 4,829,989 ",,
Jun-09, 126 , 5 ," (1,255)"," 55,115 "," 2,387 "," (280,766)"," 4,907,715 ",,
Jul-09, 133 , 5 ," (1,248)"," 53,410 "," 2,601 "," (292,632)"," 4,980,001 ",,
Aug-09, 148 , 5 ," (1,248)"," 53,908 "," 2,795 "," (301,855)"," 5,179,185 ",,
Sep-09, 154 , 5 ," (1,246)"," 54,677 "," 2,940 "," (315,275)"," 5,331,249 ",,
Oct-09, 161 , 5 ," (1,256)"," 52,699 "," 3,034 "," (325,809)"," 5,496,192 ",,
Nov-09, 175 , 5 ," (1,238)"," 54,077 "," 3,094 "," (338,934)"," 5,717,803 ",,
Dec-09, 188 , 5 ," (1,196)"," 54,046 "," 3,105 "," (353,546)"," 5,667,399 ",,
Jan-10, 211 , 4 ," (1,147)"," 52,410 "," 3,087 "," (367,834)"," 5,810,380 ",,
Feb-10, 230 , 4 ," (1,090)"," 53,522 "," 3,062 "," (382,479)"," 6,095,563 ",,
Mar-10, 234 , 4 ," (1,037)"," 55,310 "," 3,032 "," (395,992)"," 6,511,584 ",,
Apr-10, 237 , 4 , (983)," 53,475 "," 3,002 "," (411,125)"," 6,602,320 ",,
May-10, 231 , 3 , (942)," 52,759 "," 2,983 "," (426,076)"," 6,804,342 ",,
Jun-10, 231 , 3 , (904)," 51,054 "," 2,995 "," (441,814)"," 7,168,103 ",,
Jul-10, 234 , 3 , (901)," 49,954 "," 3,039 "," (456,392)"," 7,398,946 ",,
Aug-10, 228 , 3 , (897)," 50,203 "," 3,106 "," (471,759)"," 7,621,606 ",,
Sep-10, 220 , 3 , (902)," 49,807 "," 3,201 "," (487,196)"," 7,821,937 ",,
Oct-10, 217 , 3 , (906)," 50,006 "," 3,322 "," (501,591)"," 7,869,694 ",,
Nov-10, 212 , 3 , (894)," 51,359 "," 3,497 "," (516,834)"," 8,241,561 ",,
Dec-10, 200 , 3 , (859)," 51,592 "," 3,706 "," (531,501)"," 8,541,356 ",,
Jan-11, 190 , 3 , (785)," 50,671 "," 3,942 "," (545,999)"," 8,678,789 ",,
Feb-11, 167 , 3 , (729)," 50,674 "," 4,164 "," (560,779)"," 8,804,536 ",,
Mar-11, 164 , 3 , (679)," 51,331 "," 4,357 "," (573,422)"," 9,380,361 ",,
Apr-11, 161 , 3 , (632)," 49,913 "," 4,589 "," (585,553)"," 9,604,638 ",,
May-11, 157 , 3 , (600)," 50,691 "," 4,829 "," (594,790)"," 9,900,303 ",,
Jun-11, 148 , 3 , (590)," 48,638 "," 5,043 "," (600,522)"," 9,770,809 ",,
Jul-11, 139 , 4 , (596)," 48,048 "," 5,162 "," (603,630)"," 9,898,162 ",,
Aug-11, 137 , 4 , (620)," 47,120 "," 5,188 "," (603,118)"," 10,152,769 ",,
Sep-11, 136 , 4 , (637)," 47,051 "," 5,131 "," (608,408)"," 10,391,842 ",,
Oct-11, 138 , 5 , (677)," 47,938 "," 5,045 "," (595,743)"," 10,408,874 ",,
Nov-11, 133 , 6 , (698)," 50,298 "," 4,987 "," (589,720)"," 10,561,341 ",,
Dec-11, 121 , 7 , (702)," 54,563 "," 4,941 "," (587,954)"," 10,434,549 ",,
Jan-12, 115 , 8 , (709)," 52,674 "," 4,882 "," (575,785)"," 10,315,975 ",,
Feb-12, 98 , 9 , (706)," 53,090 "," 4,813 "," (567,610)"," 9,928,136 ",,
Mar-12, 86 , 11 , (706)," 52,687 "," 4,787 "," (558,997)"," 9,807,332 ",,
Apr-12, 75 , 13 , (704)," 52,370 "," 4,847 "," (548,986)"," 9,805,027 ",,
May-12, 67 , 15 , (738)," 51,521 "," 4,957 "," (537,428)"," 9,863,626 ",,
Jun-12, 60 , 17 , (778)," 50,698 "," 5,049 "," (524,479)"," 10,030,660 ",,
Jul-12, 54 , 19 , (833)," 50,999 "," 5,122 "," (509,151)"," 9,999,250 ",,
Aug-12, 50 , 22 , (895)," 51,072 "," 5,215 "," (497,166)"," 9,964,822 ",,
Sep-12, 47 , 23 , (960)," 52,319 "," 5,299 "," (482,817)"," 9,774,010 ",,
Oct-12, 42 , 25 ," (1,013)"," 53,710 "," 5,327 "," (469,055)"," 9,439,376 ",,
Nov-12, 44 , 26 ," (1,050)"," 54,662 "," 5,325 "," (455,275)"," 9,186,710 ",,
Dec-12, 45 , 27 ," (1,067)"," 53,469 "," 5,314 "," (442,738)"," 8,897,714 ",,
Jan-13, 48 , 27 ," (1,059)"," 56,251 "," 5,321 "," (431,078)"," 8,662,108 ",,
Feb-13, 45 , 27 ," (1,032)"," 57,190 "," 5,315 "," (420,459)"," 8,565,385 ",,
Mar-13, 46 , 26 ," (1,001)"," 56,472 "," 5,250 "," (411,538)"," 8,293,329 ",,
Apr-13, 44 , 25 , (976)," 56,274 "," 5,063 "," (406,378)"," 8,170,149 ",,
May-13, 41 , 24 , (950)," 54,452 "," 4,783 "," (393,298)"," 8,030,436 ",,
Jun-13, 43 , 23 , (943)," 53,565 "," 4,479 "," (386,319)"," 7,854,375 ",,
Jul-13, 44 , 22 , (938)," 53,211 "," 4,284 "," (372,372)"," 7,655,571 ",,
Aug-13, 47 , 20 , (949)," 53,361 "," 4,170 "," (360,321)"," 7,385,782 ",,
Sep-13, 46 , 20 , (950)," 52,200 "," 4,086 "," (347,882)"," 7,008,149 ",,
Oct-13, 46 , 19 , (957)," 54,733 "," 3,984 "," (333,945)"," 6,911,832 ",,
Nov-13, 47 , 19 , (952)," 54,349 "," 3,922 "," (322,061)"," 6,847,800 ",,
Dec-13, 47 , 20 , (955)," 54,662 "," 3,997 "," (313,636)"," 6,754,324 ",,
Jan-14, 51 , 21 , (953)," 54,117 "," 4,200 "," (303,202)"," 6,646,675 ",,
Feb-14, 52 , 21 , (955)," 55,414 "," 4,406 "," (293,021)"," 6,621,536 ",,
Mar-14, 54 , 21 , (964)," 56,161 "," 4,542 "," (284,193)"," 6,597,842 ",,
Apr-14, 53 , 22 , (982)," 55,872 "," 4,599 "," (274,759)"," 6,657,479 ",,
May-14, 52 , 23 ," (1,011)"," 55,595 "," 4,561 "," (266,125)"," 6,758,791 ",,
Jun-14, 49 , 23 ," (1,034)"," 56,831 "," 4,467 "," (255,915)"," 6,718,553 ",,
Jul-14, 48 , 24 ," (1,117)"," 55,908 "," 4,351 "," (251,675)"," 6,605,559 ",,
Aug-14, 52 , 25 ," (1,181)"," 56,432 "," 4,212 "," (244,121)"," 6,643,654 ",,
Sep-14, 55 , 25 ," (1,247)"," 56,983 "," 4,061 "," (241,656)"," 6,566,461 ",,
Oct-14, 52 , 26 ," (1,322)"," 57,376 "," 3,946 "," (237,567)"," 6,470,484 ",,
Nov-14, 49 , 25 ," (1,376)"," 57,528 "," 3,873 "," (235,505)"," 6,323,123 ",,
Dec-14, 50 , 25 ," (1,412)"," 57,613 "," 3,874 "," (233,741)"," 6,346,423 ",,
Jan-15, 53 , 25 ," (1,412)"," 56,785 "," 3,934 "," (231,456)"," 6,289,955 ",,
Feb-15, 49 , 25 ," (1,435)"," 56,088 "," 4,079 "," (229,535)"," 6,381,963 ",,
Mar-15, 41 , 25 ," (1,453)"," 55,515 "," 4,303 "," (227,698)"," 6,415,978 ",,
Apr-15, 32 , 25 ," (1,472)"," 54,504 "," 4,619 "," (225,333)"," 6,435,417 ",,
May-15, 29 , 25 ," (1,488)"," 52,285 "," 4,888 "," (222,646)"," 6,321,925 ",,
Jun-15, 28 , 25 ," (1,496)"," 52,596 "," 5,115 "," (219,452)"," 6,175,085 ",,
Jul-15, 31 , 25 ," (1,497)"," 51,250 "," 5,284 "," (216,269)"," 6,201,213 ",,
Aug-15, 37 , 25 ," (1,482)"," 50,348 "," 5,419 "," (213,178)"," 6,123,511 ",,
Sep-15, 35 , 26 ," (1,478)"," 50,672 "," 5,549 "," (210,859)"," 6,130,388 ",,
Oct-15, 29 , 26 ," (1,407)"," 49,642 "," 5,664 "," (207,479)"," 6,033,296 ",,
Nov-15, 33 , 27 ," (1,349)"," 50,348 "," 5,799 "," (204,441)"," 6,117,593 ",,
Dec-15, 33 , 28 ," (1,287)"," 50,655 "," 5,982 "," (202,598)"," 5,993,985 ",,
Jan-16, 25 , 28 ," (1,220)"," 50,328 "," 6,226 "," (197,392)"," 6,137,649 ",,
Feb-16, 18 , 28 ," (1,161)"," 49,052 "," 6,510 "," (192,884)"," 6,029,283 ",,
Mar-16, 17 , 28 ," (1,137)"," 46,692 "," 6,756 "," (187,400)"," 5,768,648 ",,
Apr-16, 16 , 28 ," (1,126)"," 46,194 "," 6,956 "," (181,641)"," 6,007,569 ",,
May-16, 17 , 28 ," (1,121)"," 44,931 "," 7,082 "," (176,095)"," 5,964,549 ",,
Jun-16, 20 , 28 ," (1,119)"," 44,071 "," 7,185 "," (170,371)"," 5,918,928 ",,
Jul-16, 19 , 28 ," (1,116)"," 43,102 "," 7,247 "," (164,818)"," 6,021,543 ",,
Aug-16, 19 , 28 ," (1,113)"," 43,582 "," 7,258 "," (159,052)"," 5,899,694 ",,
Sep-16, 17 , 29 ," (1,110)"," 43,947 "," 7,222 "," (153,265)"," 5,842,112 ",,
Oct-16, 20 , 29 ," (1,107)"," 44,508 "," 7,205 "," (147,630)"," 5,834,974 ",,
Nov-16, 24 , 29 ," (1,104)"," 44,630 "," 7,195 "," (141,761)"," 5,781,564 ",,
Dec-16, 29 , 30 ," (1,102)"," 44,135 "," 7,193 "," (136,034)"," 5,744,794 ",,
Jan-17, 32 , 30 ," (1,102)"," 44,275 "," 7,202 "," (140,214)"," 5,862,082 ",,
Feb-17, 37 , 30 ," (1,103)"," 45,277 "," 7,224 "," (148,318)"," 5,975,970 ",,
Mar-17, 42 , 31 ," (1,106)"," 45,159 "," 7,253 "," (154,892)"," 6,054,991 ",,
Apr-17, 44 , 31 ," (1,116)"," 45,196 "," 7,295 "," (163,600)"," 6,161,295 ",,
May-17, 46 , 32 ," (1,139)"," 45,385 "," 7,342 "," (173,250)"," 6,296,425 ",,
Jun-17, 46 , 32 ," (1,166)"," 45,616 "," 7,397 "," (183,976)"," 6,434,235 ",,
Jul-17,, 33 ," (1,195)"," 45,931 "," 7,455 "," (195,080)"," 6,583,934 ",,
Aug-17,, 33 ," (1,226)"," 46,243 "," 7,517 "," (206,861)"," 6,725,867 ",,