State,County,StateID,CountyID,Region,,,,,,,
MT,DAWSON,25,021,Bakken Region,,,,,,,
MT,MCCONE,25,055,Bakken Region,,,,,,,
MT,RICHLAND,25,083,Bakken Region,,,,,,,
MT,ROOSEVELT,25,085,Bakken Region,,,,,,,
MT,SHERIDAN,25,091,Bakken Region,,,,,,,
ND,BILLINGS,33,007,Bakken Region,,,,,,,
ND,BOTTINEAU,33,009,Bakken Region,,,,,,,
ND,BURKE,33,013,Bakken Region,,,,,,,
ND,DIVIDE,33,023,Bakken Region,,,,,,,
ND,DUNN,33,025,Bakken Region,,,,,,,
ND,GOLDEN VALLEY,33,033,Bakken Region,,,,,,,
ND,MCHENRY,33,049,Bakken Region,,,,,,,
ND,MCKENZIE,33,053,Bakken Region,,,,,,,
ND,MCLEAN,33,055,Bakken Region,,,,,,,
ND,MERCER,33,057,Bakken Region,,,,,,,
ND,MOUNTRAIL,33,061,Bakken Region,,,,,,,
ND,RENVILLE,33,075,Bakken Region,,,,,,,
ND,STARK,33,089,Bakken Region,,,,,,,
ND,WARD,33,101,Bakken Region,,,,,,,
ND,WILLIAMS,33,105,Bakken Region,,,,,,,
TX,ATASCOSA,42,013,Eagle Ford Region,,,,,,,
TX,BASTROP,42,021,Eagle Ford Region,,,,,,,
TX,BEE,42,025,Eagle Ford Region,,,,,,,
TX,BRAZOS,42,041,Eagle Ford Region,,,,,,,
TX,BURLESON,42,051,Eagle Ford Region,,,,,,,
TX,DEWITT,42,123,Eagle Ford Region,,,,,,,
TX,DIMMIT,42,127,Eagle Ford Region,,,,,,,
TX,FAYETTE,42,149,Eagle Ford Region,,,,,,,
TX,FRIO,42,163,Eagle Ford Region,,,,,,,
TX,GONZALES,42,177,Eagle Ford Region,,,,,,,
TX,KARNES,42,255,Eagle Ford Region,,,,,,,
TX,LA SALLE,42,283,Eagle Ford Region,,,,,,,
TX,LAVACA,42,285,Eagle Ford Region,,,,,,,
TX,LEE,42,287,Eagle Ford Region,,,,,,,
TX,LEON,42,289,Eagle Ford Region,,,,,,,
TX,LIVE OAK,42,297,Eagle Ford Region,,,,,,,
TX,MADISON,42,313,Eagle Ford Region,,,,,,,
TX,MAVERICK,42,323,Eagle Ford Region,,,,,,,
TX,MCMULLEN,42,311,Eagle Ford Region,,,,,,,
TX,MILAM,42,331,Eagle Ford Region,,,,,,,
TX,WEBB,42,479,Eagle Ford Region,,,,,,,
TX,WILSON,42,493,Eagle Ford Region,,,,,,,
TX,ZAVALA,42,507,Eagle Ford Region,,,,,,,
AR,COLUMBIA,03,027,Haynesville Region,,,,,,,
AR,LAFAYETTE,03,073,Haynesville Region,,,,,,,
LA,BIENVILLE,17,013,Haynesville Region,,,,,,,
LA,BOSSIER,17,015,Haynesville Region,,,,,,,
LA,CADDO,17,017,Haynesville Region,,,,,,,
LA,CLAIBORNE,17,027,Haynesville Region,,,,,,,
LA,DE SOTO,17,031,Haynesville Region,,,,,,,
LA,NATCHITOCHES,17,069,Haynesville Region,,,,,,,
LA,RED RIVER,17,081,Haynesville Region,,,,,,,
LA,SABINE,17,085,Haynesville Region,,,,,,,
LA,UNION,17,111,Haynesville Region,,,,,,,
LA,WEBSTER,17,119,Haynesville Region,,,,,,,
TX,ANGELINA,42,005,Haynesville Region,,,,,,,
TX,CHEROKEE,42,073,Haynesville Region,,,,,,,
TX,GREGG,42,183,Haynesville Region,,,,,,,
TX,HARRISON,42,203,Haynesville Region,,,,,,,
TX,MARION,42,315,Haynesville Region,,,,,,,
TX,NACOGDOCHES,42,347,Haynesville Region,,,,,,,
TX,PANOLA,42,365,Haynesville Region,,,,,,,
TX,RUSK,42,401,Haynesville Region,,,,,,,
TX,SABINE,42,403,Haynesville Region,,,,,,,
TX,SAN AUGUSTINE,42,405,Haynesville Region,,,,,,,
TX,SHELBY,42,419,Haynesville Region,,,,,,,
TX,SMITH,42,423,Haynesville Region,,,,,,,
TX,UPSHUR,42,459,Haynesville Region,,,,,,,
MD,ALLEGANY,19,001,Marcellus Region,,,,,,,
MD,GARRETT,19,023,Marcellus Region,,,,,,,
NY,ALLEGANY,31,003,Marcellus Region,,,,,,,
NY,BROOME,31,007,Marcellus Region,,,,,,,
NY,CATTARAUGUS,31,009,Marcellus Region,,,,,,,
NY,CHAUTAUQUA,31,013,Marcellus Region,,,,,,,
NY,CHEMUNG,31,015,Marcellus Region,,,,,,,
NY,ERIE,31,029,Marcellus Region,,,,,,,
NY,LIVINGSTON,31,051,Marcellus Region,,,,,,,
NY,SCHUYLER,31,097,Marcellus Region,,,,,,,
NY,STEUBEN,31,101,Marcellus Region,,,,,,,
NY,WYOMING,31,121,Marcellus Region,,,,,,,
PA,ALLEGHENY,37,003,Marcellus Region,,,,,,,
PA,ARMSTRONG,37,005,Marcellus Region,,,,,,,
PA,BEAVER,37,007,Marcellus Region,,,,,,,
PA,BEDFORD,37,009,Marcellus Region,,,,,,,
PA,BLAIR,37,013,Marcellus Region,,,,,,,
PA,BRADFORD,37,015,Marcellus Region,,,,,,,
PA,BUTLER,37,019,Marcellus Region,,,,,,,
PA,CAMBRIA,37,021,Marcellus Region,,,,,,,
PA,CAMERON,37,023,Marcellus Region,,,,,,,
PA,CENTRE,37,027,Marcellus Region,,,,,,,
PA,CLARION,37,031,Marcellus Region,,,,,,,
PA,CLEARFIELD,37,033,Marcellus Region,,,,,,,
PA,CLINTON,37,035,Marcellus Region,,,,,,,
PA,COLUMBIA,37,037,Marcellus Region,,,,,,,
PA,CUMBERLAND,37,041,Marcellus Region,,,,,,,
PA,ELK,37,047,Marcellus Region,,,,,,,
PA,FAYETTE,37,051,Marcellus Region,,,,,,,
PA,FOREST,37,053,Marcellus Region,,,,,,,
PA,FRANKLIN,37,055,Marcellus Region,,,,,,,
PA,GREENE,37,059,Marcellus Region,,,,,,,
PA,HUNTINGDON,37,061,Marcellus Region,,,,,,,
PA,INDIANA,37,063,Marcellus Region,,,,,,,
PA,JEFFERSON,37,065,Marcellus Region,,,,,,,
PA,LACKAWANNA,37,069,Marcellus Region,,,,,,,
PA,LAWRENCE,37,073,Marcellus Region,,,,,,,
PA,LUZERNE,37,079,Marcellus Region,,,,,,,
PA,LYCOMING,37,081,Marcellus Region,,,,,,,
PA,MCKEAN,37,083,Marcellus Region,,,,,,,
PA,MERCER,37,085,Marcellus Region,,,,,,,
PA,PIKE,37,103,Marcellus Region,,,,,,,
PA,POTTER,37,105,Marcellus Region,,,,,,,
PA,SOMERSET,37,111,Marcellus Region,,,,,,,
PA,SULLIVAN,37,113,Marcellus Region,,,,,,,
PA,SUSQUEHANNA,37,115,Marcellus Region,,,,,,,
PA,TIOGA,37,117,Marcellus Region,,,,,,,
PA,VENANGO,37,121,Marcellus Region,,,,,,,
PA,WARREN,37,123,Marcellus Region,,,,,,,
PA,WASHINGTON,37,125,Marcellus Region,,,,,,,
PA,WAYNE,37,127,Marcellus Region,,,,,,,
PA,WESTMORELAND,37,129,Marcellus Region,,,,,,,
PA,WYOMING,37,131,Marcellus Region,,,,,,,
WV,BARBOUR,47,001,Marcellus Region,,,,,,,
WV,BOONE,47,005,Marcellus Region,,,,,,,
WV,BRAXTON,47,007,Marcellus Region,,,,,,,
WV,BROOKE,47,009,Marcellus Region,,,,,,,
WV,CABELL,47,011,Marcellus Region,,,,,,,
WV,CALHOUN,47,013,Marcellus Region,,,,,,,
WV,CLAY,47,015,Marcellus Region,,,,,,,
WV,DODDRIDGE,47,017,Marcellus Region,,,,,,,
WV,FAYETTE,47,019,Marcellus Region,,,,,,,
WV,GILMER,47,021,Marcellus Region,,,,,,,
WV,GRANT,47,023,Marcellus Region,,,,,,,
WV,GREENBRIER,47,025,Marcellus Region,,,,,,,
WV,HAMPSHIRE,47,027,Marcellus Region,,,,,,,
WV,HANCOCK,47,029,Marcellus Region,,,,,,,
WV,HARDY,47,031,Marcellus Region,,,,,,,
WV,HARRISON,47,033,Marcellus Region,,,,,,,
WV,JACKSON,47,035,Marcellus Region,,,,,,,
WV,KANAWHA,47,039,Marcellus Region,,,,,,,
WV,LEWIS,47,041,Marcellus Region,,,,,,,
WV,LINCOLN,47,043,Marcellus Region,,,,,,,
WV,LOGAN,47,045,Marcellus Region,,,,,,,
WV,MARION,47,049,Marcellus Region,,,,,,,
WV,MARSHALL,47,051,Marcellus Region,,,,,,,
WV,MASON,47,053,Marcellus Region,,,,,,,
WV,MCDOWELL,47,047,Marcellus Region,,,,,,,
WV,MERCER,47,055,Marcellus Region,,,,,,,
WV,MINERAL,47,057,Marcellus Region,,,,,,,
WV,MINGO,47,059,Marcellus Region,,,,,,,
WV,MONONGALIA,47,061,Marcellus Region,,,,,,,
WV,MONROE,47,063,Marcellus Region,,,,,,,
WV,MORGAN,47,065,Marcellus Region,,,,,,,
WV,NICHOLAS,47,067,Marcellus Region,,,,,,,
WV,OHIO,47,069,Marcellus Region,,,,,,,
WV,PENDLETON,47,071,Marcellus Region,,,,,,,
WV,PLEASANTS,47,073,Marcellus Region,,,,,,,
WV,POCAHONTAS,47,075,Marcellus Region,,,,,,,
WV,PRESTON,47,077,Marcellus Region,,,,,,,
WV,PUTNAM,47,079,Marcellus Region,,,,,,,
WV,RALEIGH,47,081,Marcellus Region,,,,,,,
WV,RANDOLPH,47,083,Marcellus Region,,,,,,,
WV,RITCHIE,47,085,Marcellus Region,,,,,,,
WV,ROANE,47,087,Marcellus Region,,,,,,,
WV,SUMMERS,47,089,Marcellus Region,,,,,,,
WV,TAYLOR,47,091,Marcellus Region,,,,,,,
WV,TUCKER,47,093,Marcellus Region,,,,,,,
WV,TYLER,47,095,Marcellus Region,,,,,,,
WV,UPSHUR,47,097,Marcellus Region,,,,,,,
WV,WAYNE,47,099,Marcellus Region,,,,,,,
WV,WEBSTER,47,101,Marcellus Region,,,,,,,
WV,WETZEL,47,103,Marcellus Region,,,,,,,
WV,WIRT,47,105,Marcellus Region,,,,,,,
WV,WOOD,47,107,Marcellus Region,,,,,,,
WV,WYOMING,47,109,Marcellus Region,,,,,,,
CO,ADAMS,05,001,Niobrara Region,,,,,,,
CO,ARAPAHOE,05,005,Niobrara Region,,,,,,,
CO,BOULDER,05,013,Niobrara Region,,,,,,,
CO,BROOMFIELD,05,014,Niobrara Region,,,,,,,
CO,CHEYENNE,05,017,Niobrara Region,,,,,,,
CO,GARFIELD,05,045,Niobrara Region,,,,,,,
CO,JACKSON,05,057,Niobrara Region,,,,,,,
CO,JEFFERSON,05,059,Niobrara Region,,,,,,,
CO,KIT CARSON,05,063,Niobrara Region,,,,,,,
CO,LARIMER,05,069,Niobrara Region,,,,,,,
CO,LOGAN,05,075,Niobrara Region,,,,,,,
CO,MESA,05,077,Niobrara Region,,,,,,,
CO,MOFFAT,05,081,Niobrara Region,,,,,,,
CO,MORGAN,05,087,Niobrara Region,,,,,,,
CO,PHILLIPS,05,095,Niobrara Region,,,,,,,
CO,RIO BLANCO,05,103,Niobrara Region,,,,,,,
CO,ROUTT,05,107,Niobrara Region,,,,,,,
CO,SEDGWICK,05,115,Niobrara Region,,,,,,,
CO,WASHINGTON,05,121,Niobrara Region,,,,,,,
CO,WELD,05,123,Niobrara Region,,,,,,,
CO,YUMA,05,125,Niobrara Region,,,,,,,
KS,CHEYENNE,15,023,Niobrara Region,,,,,,,
KS,SHERMAN,15,181,Niobrara Region,,,,,,,
NE,CHEYENNE,26,033,Niobrara Region,,,,,,,
NE,DEUEL,26,049,Niobrara Region,,,,,,,
NE,GARDEN,26,069,Niobrara Region,,,,,,,
WY,ALBANY,49,001,Niobrara Region,,,,,,,
WY,CAMPBELL,49,005,Niobrara Region,,,,,,,
WY,CARBON,49,007,Niobrara Region,,,,,,,
WY,CONVERSE,49,009,Niobrara Region,,,,,,,
WY,GOSHEN,49,015,Niobrara Region,,,,,,,
WY,JOHNSON,49,019,Niobrara Region,,,,,,,
WY,LARAMIE,49,021,Niobrara Region,,,,,,,
WY,NATRONA,49,025,Niobrara Region,,,,,,,
WY,NIOBRARA,49,027,Niobrara Region,,,,,,,
WY,PLATTE,49,031,Niobrara Region,,,,,,,
WY,WESTON,49,045,Niobrara Region,,,,,,,
NM,CHAVES,30,005,Permian Region,,,,,,,
NM,EDDY,30,015,Permian Region,,,,,,,
NM,LEA,30,025,Permian Region,,,,,,,
NM,ROOSEVELT,30,041,Permian Region,,,,,,,
TX,ANDREWS,42,003,Permian Region,,,,,,,
TX,BAILEY,42,017,Permian Region,,,,,,,
TX,BORDEN,42,033,Permian Region,,,,,,,
TX,COCHRAN,42,079,Permian Region,,,,,,,
TX,COKE,42,081,Permian Region,,,,,,,
TX,CONCHO,42,095,Permian Region,,,,,,,
TX,CRANE,42,103,Permian Region,,,,,,,
TX,CROCKETT,42,105,Permian Region,,,,,,,
TX,CROSBY,42,107,Permian Region,,,,,,,
TX,CULBERSON,42,109,Permian Region,,,,,,,
TX,DAWSON,42,115,Permian Region,,,,,,,
TX,DICKENS,42,125,Permian Region,,,,,,,
TX,ECTOR,42,135,Permian Region,,,,,,,
TX,EDWARDS,42,137,Permian Region,,,,,,,
TX,FISHER,42,151,Permian Region,,,,,,,
TX,FLOYD,42,153,Permian Region,,,,,,,
TX,GAINES,42,165,Permian Region,,,,,,,
TX,GARZA,42,169,Permian Region,,,,,,,
TX,GLASSCOCK,42,173,Permian Region,,,,,,,
TX,HALE,42,189,Permian Region,,,,,,,
TX,HOCKLEY,42,219,Permian Region,,,,,,,
TX,HOWARD,42,227,Permian Region,,,,,,,
TX,IRION,42,235,Permian Region,,,,,,,
TX,KENT,42,263,Permian Region,,,,,,,
TX,KIMBLE,42,267,Permian Region,,,,,,,
TX,LAMB,42,279,Permian Region,,,,,,,
TX,LOVING,42,301,Permian Region,,,,,,,
TX,LUBBOCK,42,303,Permian Region,,,,,,,
TX,LYNN,42,305,Permian Region,,,,,,,
TX,MARTIN,42,317,Permian Region,,,,,,,
TX,MENARD,42,327,Permian Region,,,,,,,
TX,MIDLAND,42,329,Permian Region,,,,,,,
TX,MITCHELL,42,335,Permian Region,,,,,,,
TX,MOTLEY,42,345,Permian Region,,,,,,,
TX,NOLAN,42,353,Permian Region,,,,,,,
TX,PECOS,42,371,Permian Region,,,,,,,
TX,REAGAN,42,383,Permian Region,,,,,,,
TX,REAL,42,385,Permian Region,,,,,,,
TX,REEVES,42,389,Permian Region,,,,,,,
TX,SCHLEICHER,42,413,Permian Region,,,,,,,
TX,SCURRY,42,415,Permian Region,,,,,,,
TX,STERLING,42,431,Permian Region,,,,,,,
TX,SUTTON,42,435,Permian Region,,,,,,,
TX,TERRELL,42,443,Permian Region,,,,,,,
TX,TERRY,42,445,Permian Region,,,,,,,
TX,TOM GREEN,42,451,Permian Region,,,,,,,
TX,UPTON,42,461,Permian Region,,,,,,,
TX,VAL VERDE,42,465,Permian Region,,,,,,,
TX,WARD,42,475,Permian Region,,,,,,,
TX,WINKLER,42,495,Permian Region,,,,,,,
TX,YOAKUM,42,501,Permian Region,,,,,,,
OH,BELMONT,34,013,Utica Region,,,,,,,
OH,CARROLL,34,019,Utica Region,,,,,,,
OH,COLUMBIANA,34,029,Utica Region,,,,,,,
OH,COSHOCTON,34,031,Utica Region,,,,,,,
OH,GUERNSEY,34,059,Utica Region,,,,,,,
OH,HARRISON,34,067,Utica Region,,,,,,,
OH,HOCKING,34,073,Utica Region,,,,,,,
OH,JEFFERSON,34,081,Utica Region,,,,,,,
OH,MAHONING,34,099,Utica Region,,,,,,,
OH,MONROE,34,111,Utica Region,,,,,,,
OH,MORGAN,34,115,Utica Region,,,,,,,
OH,MUSKINGUM,34,119,Utica Region,,,,,,,
OH,NOBLE,34,121,Utica Region,,,,,,,
OH,PERRY,34,127,Utica Region,,,,,,,
OH,PORTAGE,34,133,Utica Region,,,,,,,
OH,STARK,34,151,Utica Region,,,,,,,
OH,TRUMBULL,34,155,Utica Region,,,,,,,
OH,TUSCARAWAS,34,157,Utica Region,,,,,,,
OH,WASHINGTON,34,167,Utica Region,,,,,,,
OH,WAYNE,34,169,Utica Region,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,